Galaxy,Blaster,Rebel,ManaReaver,Demolitionist,Cybernetic,Infiltrator,StarGuardian,Paragon,Sniper,Set3_Celestial,MechPilot,Set3_Sorcerer,Astro,Chrono,Battlecast,Set3_Brawler,SpacePirate,DarkStar,Vanguard,Starship,Mercenary,Protector,Set3_Mystic,Set3_Blademaster,DamageToPlayer,Top4,Win
Little Legend,Tier 1,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 1,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,89,FALSE,FALSE
Treasure Trove,Tier 1,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 1,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,15,FALSE,FALSE
Normal,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,60,FALSE,FALSE
Little Legend,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,60,FALSE,FALSE
Normal,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,23,FALSE,FALSE
Treasure Trove,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 2,Tier 0,Tier 1,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,165,TRUE,TRUE
Trade Sector,Tier 1,Tier 1,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 1,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,194,TRUE,TRUE
Salvage World,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 2,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,69,FALSE,FALSE
Galactic Armory,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,98,FALSE,FALSE
Binary Star,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,65,FALSE,FALSE
Binary Star,Tier 1,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 3,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,138,TRUE,FALSE
SuperDense,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,Tier 1,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,134,TRUE,FALSE
Plunder Planet,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,152,TRUE,FALSE
Plunder Planet,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,130,TRUE,FALSE
SuperDense,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,117,TRUE,FALSE
Trade Sector,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,86,TRUE,FALSE
Binary Star,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,94,TRUE,FALSE
Treasure Trove,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,206,TRUE,TRUE
Binary Star,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,Tier 1,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,168,TRUE,TRUE
SuperDense,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,63,FALSE,FALSE
